Bertus Aafjes (1914–1993, Netherlands, p)
Parinoush Saniee (living, Iran, f)
José Ignacio de Sanjinés (1786–1864, Bolivia, p)
Uthaya Sankar SB (born 1972, Malaysia, nf)
Wilton G. S. Sankawulo (1937–2009, Liberia, f)
Rahul Sankrityayan (1893–1963, India, nf)
Juan Zorrilla de San Martín (1855–1931, Uruguay, p)
Sanmao (三毛, 1943–1991, Taiwan, nf/f)
Jacopo Sannazaro (1458–1530, Italy, p/nf)
Lamin Sanneh (1942–2019, Gambia, nf)
Adiza Sanoussi (living, Burkina Faso, f), pseudonym of Alizata Sana
Boualem Sansal (born 1949, Algeria, f/nf)
Ann Sansom (living, England, p)
Clive Sansom (1910–1981, England/Australia, p/d)
Andrew Sant (born 1950, Australia, p/nf)
Ferenc Sánta (1927–2008, Romania/Hungary, f/d)
Ana de Santana (born 1960, Angola, p/nf)
Glória de Sant'Anna (1925–2009, Mozambique, p)
Sérgio Sant'Anna (1841–1920, Brazil, p/d/f)
Bernardo Santareno (1920–1980, Portugal, p/nf/d)
George Santayana (1863–1952, Spain/Italy, nf/f/p)
Dan Santat (born 1975, US, ch)
Esmeralda Santiago (born 1948, Puerto Rico, nf)
Aleksa Šantić (1868–1924, Ottoman E/Yugoslavia, p)
Diego Abad de Santillán (1897–1938, Argentina, nf)
Alda Neves da Graça do Espírito Santo (1926–2010, São Tomé and Príncipe/Angola, p)
Santōka Taneda (種田山頭火, 1882–1940, Japan, p), born Taneda Shōichi (種田正一)
Ana Eduarda Santos (born 1983, Portugal, f/d)
Ary dos Santos (1936–1984, Portugal, p)
Bienvenido Santos (1911–1996, Philippines/US, f/p/nf)
João dos Santos (died 1622, Portugal/India, nf)
Lope K. Santos (1879–1963, Philippines, f/nf)
Marcelino dos Santos (1929–1920, Mozambique, p)
Mayra Santos-Febres (born 1966, Puerto Rico, p/f/ch)
Mitsugu Saotome (早乙女貢, 1926–2008, Japan)
Milorad Popović Šapčanin (1841–1895, Serbia, f/p/d)
Genrikh Sapgir (1928–1999, USSR, p/f)
Amanullah Sailaab Sapi (1933–1979, Afghanistan, p)
Sappho (c. 630 – c. 570 BCE, Greece, p)
Humira Saqib (born 1980, Afghanistan, nf)
Thouria Saqqat (1935–1992, Morocco, ch)
José Hermano Saraiva (1919–2012, Portugal, nf)
Adrijan Sarajlija (born 1976, Yugoslavia/Serbia, f)
Sima Milutinović Sarajlija (1791–1847, Ottoman E/Serbia, p/nf)
José Saramago (1922–2010, Portugal/Spain, nf/f)
Ghadam-Ali Sarami (born 1944, Iran, nf/p/d)
Vilas Sarang (1942–2015, India, f/p/nf)
Jaydeep Sarangi (born 1973, India, nf/p)
Dinu Săraru (1932–2024, Romania, f/d)
Dipti Saravanamuttu (born 1960, Sri Lanka/Australia, p/f)
John Mensah Sarbah (1864–1910, Gold Coast, nf)
Maciej Kazimierz Sarbiewski (1595–1640, Poland, p/nf)
António Sardinha (1887–1925, Portugal, nf)
Pedro Pérez Sarduy (born 1943, Cuba/England, p/f)
Severo Sarduy (1937–1993, Cuba, p/f/d)
Anne-Cécile Sarfati (born 1967, France, nf)
Pamela Sargent (born 1948, US, f/nf)
Frank Sargeson (1903–1982, N Zealand, f)
Petar Šarić (1937–2023, Yugoslavia/Kosovo, p/f/d)
Duncan Sarkies (living, N Zealand, d/f)
György Sárközi (1899–1945, Hungary, p/nf), Holocaust victim
Beatriz Sarlo (born 1942, Argentina, nf)
Jacob de Castro Sarmento (1692–1762, Portugal, nf/p)
Domingo Faustino Sarmiento (1911–1988, Argentina, nf)
Dušan Šarotar (born 1968, Yugoslavia/Slovenia, nf/f/p)
Ken Saro-Wiwa (1941–1995, Nigeria, d/nf)
Noo Saro-Wiwa (born 1976, Nigeria/England, nf)
William Saroyan (1908–1981, US, f/d/p)
Alioune Sarr (1908–2001, Senegal, nf)
Al Sarrantonio (born 1952, US, f)
Nathalie Sarraute (1900–1999, Russian E/France, f/d/nf)
Maren Sars (1911–1998, Norway, f)
George Sarton (1884–1956, Belgium/US, nf)
Jean-Paul Sartre (1905–1980, France, nf/d/f)
Nobutsuna Sasaki (佐佐木信綱, 1872–1963, Japan, p)
Williams Sassine (1944–1997, Guinea/France, f)
Siegfried Sassoon (1886–1967, England, p/f/nf)
Subagio Sastrowardoyo (1924–1995, Dutch E Indies/Indonesia, p/f/nf)
Ineko Sata (佐多稲子, 1904–1998, Japan, nf/f)
Július Satinský (1941–2002, Czechoslovakia/Slovakia, d/nf)
Satiricca (* 1985, Czechoslovakia, f/nf/p)
Satsvarupa dasa Goswami (born 1939, US, nf/f/p), born Stephen Guarino
Gilbert Saulnier du Verdier (? –1686, France, f)
George Saunders (born 1958, US, f/nf/ch)
Jen Saunders (born 1962, Australia, p)
Margaret Marshall Saunders (1861–1947, Canada, ch/f/nf)
William Saunders (1806–1851, Wales)
Henriette Sauret (1890–1976, France), p/nf)
Richard Savage (c. 1697–1743, England, p)
Léon Savary (1895–1968, Switzerland/France, nf)
Fernando Savater (born 1947, Spain, nf)
Constance Savery (1897–1999, England, f/ch)
Milisav Savić (born 1945, Yugoslavia/Serbia, f/nf)
Jaya Savige (born 1978, Australia, p)
Annie Gregg Savigny (c. 1838–1901, Canada, f/ch)
George Savile, 1st Marquess of Halifax (1633–1695, England, nf)
Steven Savile (born 1969, England/Sweden, f/nf)
Malcolm Saville (1901–1982, England, ch/nf)
Alberto Savinio (1891–1952, Italy, nf/d)
John Sawyer (1919–1992, England, f), co-author of wife Nancy Buckingham
Robert J. Sawyer (born 1960, Canada, f)
Ruth Sawyer (1880–1970, US, f/nf/ch)
Pol Sax (born 1960, Luxembourg/Germany, f/nf)
Allen Say (born 1937, Japan/US, ch), pseudonym of James Allen Koichi Moriwaki Seii
Sayat-Nova (1712–1795, Armenia, p)
Abdullah Abu Sayeed (born 1940, India/Bangladesh, nf)
Dorothy L. Sayers (1893–1957, England, f/p)
Isabelle Sbrissa (born 1971, Switzerland,
Sc
Leslie Scalapino (1944–2010, US, p/nf/d)
Kurtis Scaletta (living, US, ch)
Nelle Scanlan (1882–1968, N Zealand, f/nf)
Paul Scarron (1610–1660, France, p/d/f)
Simon Scarrow (born 1962, England, f)
Richard Scarry (1919–1994, US, ch)
Igiaba Scego (born 1974, Italy, f/nf)
Branimir Šćepanović (1937–2020, Yugoslavia/Serbia, f/d)
Maurice Scève (c. 1501 – c. 1564, France, p)
Annet Schaap (born 1965, Netherlands, ch)
Nat Schachner (1895–1955, US, f/nf)
Adolf Friedrich von Schack (1815–1894, Germany/Italy, p/nf)
Jakob Schaffner (1875–1944, Switzerland/Germany, f)
Rafik Schami (born 1946, Syria/Germany, f)
Alexios Schandermani (born 1953, Iran/Germany, nf)
Peter Schechter (born 1959, Italy/US, f)
Riana Scheepers (born 1957, S Africa, ch/f/p)
Paul Scheerbart (1863–1915, Danzig/Germany, f/p)
Leopold Schefer (1784–1862, Germany, p/f)
Herman George Scheffauer (1876–1927, US, p/d/nf)
Joseph Victor von Scheffel (1826–1886, Germany, p/f)
Georges Schehadé (1905–1989, Lebanon, d/p)
Jonathan Schell (1943–2014, US, nf)
Arthur van Schendel (1874–1946, Netherlands, f)
Bel Schenk (born 1975, Australia, p)
Johannes Scherr (1817–1886, Germany/Switzerland, f/nf)
Pam Scheunemann (born 1955, US, ch)
Bert Schierbeek (1918–1996, Netherlands, f/nf)
Stacy Schiff (born 1961, US, nf)
Emanuel Schikaneder (1751–1812, Germany/Austria, d)
Friedrich Schiller (1759–1805, Germany, p/nf/d)
Roland Schimmelpfennig (born 1967, Germany, d)
Anton Schindler (1795–1864, Austria, nf)
Baldur von Schirach (1907–1974, Germany, nf)
Mathilde Schjøtt (1844–1926, Norway, nf)
Torgeir Schjerven (born 1954, Norway, p/f/ch)
Johannes Schlaf (1862–1941, Germany, d/f/p)
Lambert Schlechter (born 1941, Luxembourg, p/f/nf)
August Wilhelm Schlegel (1767–1845, Germany, p/nf)
Friedrich Schlegel (1772–1829, Germany, p/nf)
Johann Elias Schlegel (1719–1749, Germany/Denmark, nf/p)
Miriam Schlein (1926–2004, US, ch)
Bernhard Schlink (born 1944, Germany, f/nf)
Laura Amy Schlitz (born 1955, US, ch)
Steven J. Schloeder (born 1960, US, nf)
Eric Schlosser (born 1959, US, nf)
Anka Schmid (born 1961, Switzerland, d)
Christoph von Schmid (1768–1854, Germany, ch)
Annie M. G. Schmidt (1911–1995, Netherlands, ch/p/d)
Arno Schmidt (1914–1979, Germany, f/nf)
Stanley Schmidt (born 1944, US, f/nf)
Michael Schmidt-Salomon (born 1967, Germany, nf/ch)
Éric-Emmanuel Schmitt (born 1960, France/Belgium, d/f)
Elke Schmitter (born 1961, Germany, nf/f/p)
Dennis Schmitz (1937–2019, US, p)
James H. Schmitz (1911–1974, US, f)
Abraham Louis Schneiders (1925–2020, Netherlands, f/nf)
Manfred Schneckenburger (1938–2019, Germany, nf
Max Schneckenburger (1819–1849, Germany/Switzerland, p)
Louis Schneider (1805–1878, Germany, nf)
Reinhold Schneider (1903–1958, Germany, p/f)
Robert Schneider (born 1961, Austria, f/d/p)
Arthur Schnitzler (1862–1931, Austria, d/f/nf)
Wolfdietrich Schnurre (1920–1989, Germany, f/p/ch)
Karel Schoeman (1939–2017, S Africa, f/nf)
Alan Scholefield (1931–2017, S Africa, f)
Robin Schone (born 1954, US, f)
Patricia Schonstein (born 1952, S Rhodesia/S Africa, f/p/ch)
Frans van Schooten (1615–1660, Netherlands, nf)
Arthur Schopenhauer (1788–1860, Poland-Lithuania/Germany, nf)
Johanna Schopenhauer (1766–1838, Danzig/Germany, nf/f)
Constance Wiel Schram (1890–1955, Norway, nf/ch)
Olive Schreiner (1855–1920, S Africa, f/nf)
Friedrich Ludwig Schröder (1744–1816, Germany, d)
Rainer M. Schröder (born 1951, Germany, f/ch)
Christian Friedrich Daniel Schubart (1739–1791, Germany, p/nf)
Levin Schücking (1848–1883, Germany, f)
Levin Ludwig Schücking (1878–1964, Germany, nf)
Franz Schuh (born 1947, Austria, f/nf)
Philip Schultz (born 1945, US, p)
Julianne Schultz (born 1956, Australia, nf)
Tony Schumacher (1848–1931, Germany, ch)
James Schuyler (1923–1991, US, p)
Gustav Schwab (1792–1850, Germany, p/nf)
Werner Schwab (1958–1994, Austria, d/f)
György Schwajda (1943–2010, Hungary, d)
Dietrich Schwanitz (1940–2004, Germany, nf/f)
Delmore Schwartz (1913–1966, US, p/f)
José Carlos Schwarz (1949–1977, Guinea-Bissau/Cuba, p)
Alvin Schwartz (1927–1992, US, nf/ch)
Liesel Schwarz (living, England, f)
André Schwarz-Bart (1928–2006, France/Guadeloupe, f)
Achim Schwarze (born 1958, Germany, nf)
Annemarie Schwarzenbach (1908–1942, Switzerland, nf)
Alice Schwarzer (born 1942, Germany, nf)
Peter Schweizer (born 1964, US, nf)
Monique Schwitter (born 1972, Switzerland, f/d)
Kurt Schwitters (1887–1948, Germany/England, nf/p)
Leonardo Sciascia (1921–1989, Italy, f/nf/d)
Jon Scieszka (born 1954, US, ch)
Marianella Sclavi (born 1943, Italy, nf)
Moacyr Scliar (1937–2011, Brazil, f/ch/nf)
Sandra Scofield (born 1943, US, f/nf)
Thomas N. Scortia (1926–1986, US, f)
Manuel Scorza (1928–1983, Peru, f/p/nf)
Alexander Scott (c. 1520–1582 or 1583, Scotland, p)
Alexander Scott (1920–1989, Scotland, p/d/nf)
Alicia Scott (born 1956, US, f), pseudonym of Lisa Gardner)
Ann Scott (born 1950, England/US, nf)
Ann Scott (born 1965, France/England, f)
Andrew Murray Scott (born 1955, Scotland, f/p/nf)
Caroline Lucy Scott (1784–1857, England, f/nf)
Cathy Scott (born 1950s, US, nf)
Dick Scott (1923–2020, N Zealand, nf)
F. R. Scott (1899–1985, Canada, p/nf)
Frederick George Scott (1861–1944, Canada, p)
Gabriel Scott (1874–1958, Scotland/Norway, p/f/ch)
Geoffrey Scott (1884–1929, England, nf/p)
Hardiman Scott (1920–1999, England, nf/f/p)
Hugh Stowell Scott (1862–1903, England, f), pseudonym Henry Seton Merriman
J. Michael Scott (born 1941, US, nf)
John A. Scott (born 1948, England/Australia, p/f/nf)
Lawrence Scott (born 1943, Trinidad, f/nf)
Margaret Scott (1928–2014, N Zealand, nf)
Margaret Scott (1934–2005, England/Australia, p/f/nf)
Mary Scott (1888–1979, N Zealand, f/d)
Mary-anne Scott [sic] (living, N Zealand, ch)
Michael Scott (born 1959, Ireland, f/ch), pseudonym Anna Dillon
Paul Scott (1920–1978, England, f/d/p)
Peter J. H. Scott (born 1979, England/US, nf)
Robyn Scott (born 1981, England/N Zealand, f/nf)
Rosie Scott (1948–2017, N Zealand/Australia, f/p/nf)
Sarah Scott (1720–1795, England, f/nf)
Thomas Scott (1747–1821, England, nf)
Tom Scott (poet) (1918–1995, Scotland, p/nf)
Walter Scott (1771–1832, Scotland, f/p/d)
William Matthew Scott (1893–1964, England, f/ch)
Gil Scott-Heron (1949–2011, US, p)
E. J. Scovell (1907–1999, England, p)
Georges de Scudéry (1601–1667, France, f/d/p)
Madeleine de Scudéry (1607–1701, France, f/nf)
George Bazeley Scurfield (1920–1991, England, p/nf)
Jocelynne Scutt (born 1947, Australia, nf)
Se–Sf
Jeremy Seabrook (born 1939, England, nf)
William Bueller Seabrook (1886–1945, US, nf)
Mary Seacole (1805–1881, Jamaica/England, nf)
Nicole Sealey (born 1979, US, p)
Charles Sealsfield (1793–1864, Germany/Switzerland, f), pseudonym of Karl Anton Postl
Peter Seaton (1942–2010, US, p)
W. G. Sebald (1944–2001, Germany/England, nf)
Mihail Sebastian (1907–1945, Romania, d/nf/f)
Anne Sebba (born 1951, England, nf/ch), born Anne Rubinstein
Leïla Sebbar (born 1941, Algeria/France, f/nf)
Sebeos (fl. 7th c., Armenia, nf)
Alice Sebold (born 1963, US, f/nf)
Barolong Seboni (born 1957, Botswana, p/nf)
Mac Sebree (1932–2010, US, nf)
Juan José Sebreli (born 1930, Argentina, nf)
Władysław Sebyła (1902–1940, Poland, p), Holocaust victim
Johannes Secundus (1511–1536, Netherlands, p)
David Sedaris (born 1956, US, nf/d)
Catharine Sedgwick (1789–1867, US, f/ch)
Sir Charles Sedley, 5th Baronet (1639–1701, England, d/p)
Kate Sedley (1926–2022, England, f), pseudonym of Brenda Margaret Lilian Clarke
Lisa See (born 1955, France, nf/f)
Laura Vaccaro Seeger (living, US, ch)
Giorgos Seferis (1900–1971, Ottoman E/Greece, p), pseudonym of Georgios Seferiades
Ahmed Sefrioui (1915–2004, Morocco, f)
Anna Seghers (1900–1983, Germany, nf/f)
Pierre Seghers (1906–1987, France, p)
Martin Segon (died 1482 or 1485, Serbia/Italy, nf)
Tomás Segovia (1927–2011, Spain/Mexico, p/nf)
Mabel Segun (born 1930, Nigeria, p/d/ch)
Countess of Ségur (1799–1874, Russian E/France, f/ch), born Sofiya Feodorovna Rostopchina
Benjamin Sehene (born 1959, Rwanda/Uganda, nf/f/d)
Tor Seidler (born 1952, US, ch)
Hugh Seidman (born 1940, US, p)
Åsne Seierstad (born 1970, Norway, nf)
Rebecca Seiferle (living, US, p)
Jaroslav Seifert (1901–1986, Austria-Hungary, Czechoslovakia, p/nf)
Dubravka Sekulić (born 1980, Yugoslavia/Serbia, nf)
Isidora Sekulić (1877–1958, Austria-Hungary/Yugoslavia, nf/f)
Kobina Sekyi (1892–1956, Gold Coast/Ghana, f/nf)
George Selden (1929–1989, US, f/nf/ch)
Slobodan Selenić (1933–1995, Yugoslavia, f/nf/d)
Sei Shōnagon 清少納言, c. 966–1017 or 1025, Japan, f/nf)
Joseph Brahim Seid (1927–1980, Chad, nf)
Jaroslav Seifert (1901–1986, Austria-Hungary/Czechoslovakia, p/nf)
Lutz Seiler (born 1963, Germany, p/f)
Hase Seishū (馳星周, born 1965, Japan, f)
Lasana M. Sekou (born 1959, Saint-Martin/Sint Maarten, p/f/nf)
Isidora Sekulić (1877–1958, Austria-Hungary/Yugoslavia, f/nf)
Maja Herman Sekulić (born 1949, Yugoslavia/US, p/f/nf)
Kobina Sekyi (1892–1956, Gold Coast, d/f)
Ato Sekyi-Otu (born 1941, Ghana/Canada, nf)
Taiye Selasi (born 1979, England, f)
Sahle Selassie (c. 1795–1847, Ethiopia, nf)
Hubert Selby Jr. (1928–2004, US, f/nf)
John Selden (1584–1654, England, nf)
Anthony Seldon (born 1953, England, nf)
Will Self (born 1961, England, f/nf)
Rudi Šeligo (1935–2004, Yugoslavia/Slovenia, f/d/nf)
Meša Selimović (1910–1982, Austria-Hungary/Yugoslavia, f/nf)
Aubrey de Sélincourt (1894–1962, nf)
Hugh de Sélincourt (1878–1951, nf)
Milorad Petrović Seljančica (1875–1921, Serbia, p/d)
J. B. Selkirk (1832–1904, Scotland, p/nf), real name James Brown
Ågot Gjems Selmer (1857–1926, Norway, nf)
Habib Selmi (born 1951, Tunisia, f)
Francis Selormey (1927–1983, Gold Coast/Ghana, f/d)
Charles Seltman (1886–1957, England, nf)
Shyam Selvadurai (born 1965, Sri Lanka/Canada, f)
Ousmane Sembène (1923–2007, Senegal, d)
Eugen Semitjov (1923–1987, Sweden, nf/f/ch)
Johann Salomo Semler (1725–1791, Germany, nf)
Semonides of Amorgos (fl. 7th c. BCE, Greece, p)
Edwin Semzaba (fl. 1982–2016, Tanzania, d/f)
Amartya Sen (born 1933, India, nf)
Mala Sen (1947–2011, India/England, nf)
Samar Sen (1916–1987, India, p)
Jorge de Sena (1919–1978, Portugal/US, p/nf/f)
Jean Sénac (1926–1973, Algeria, p/nf)
Othmane Senadjki (1959–2010, Algeria, nf)
Étienne Pivert de Senancour (1770–1846, France, nf/f)
Fakir Mohan Senapati (1843–1918, India, f/p)
Jack Sendak (1923–1995, US, ch)
Maurice Sendak (1928–2012, US, ch)
Philip Sendak (1894–1970, Poland/US, ch)
Fama Diagne Sène (born 1969, Senegal, f/p)
Senge Motomaro (千家元麿, 1888–1948, Japan, p)
Léopold Sédar Senghor (1906–2001, Senegal/France, p/nf)
Nassau William Senior (1790–1864, England, nf)
Olive Senior (born 1941, Jamaica/Canada, p/f/nf)
Iryna Senyk (1926–2009, Ukraine, p)
Sipho Sepamla (1932–2007, S Africa, p/n)
Raivo Seppo (born 1973, Estonia, f)
Luis Sepúlveda (1949–2020, Chile/Spain, p/f)
Mahbod Seraji (born 1956, Iran/US, f/nf)
Valentin Serbu (1934–1994, Romania, f)
Kate Seredy (1899–1975, Hungary/US, ch)
Mohamed Serghini (born 1930, Morocco, p/f)
Abdelhak Serhane (born 1950, Morocco, f)
Rod Serling (1924–1975, US, d)
Walter Serner (1889–1942, Austrian E, f/nf), Holocaust victim
Mongane Wally Serote (born 1944, S Africa, p/f/nf)
Namwali Serpell (born 1980, Zambia/US, f)
Ian Serraillier (1912–1994, England, f/p/ch)
Marcela Serrano (born 1951, Chile, f)
Miguel Serrano (1917–2009, Chile, nf)
Eneriko Seruma (born 1944, Uganda, p/f), pseudonym of Henry S. Kimbugwe
Robert Serumaga (1939–1980, Uganda, d)
Lee Server (1953–2021, US, nf)
Robert Service (born 1947, England, nf)
Robert W. Service (1874–1958, England/France, p/f)
Vojislav Šešelj (born 1954, Yugoslavia/Serbia, nf)
Changanti Seshayya (1881–1956, India, nf)
Vikram Seth (born 1952, India, f/p)
Henriett Seth F. (born 1980, Hungary, f/d), pseudonym of Henrietta Fajcsák
Mira Sethi (born 1987, Pakistan, f/nf)
Anya Seton (1904–1990, US, f)
Diane Setterfield (born 1964, England, f)
Ernest Thompson Seton (1860–1946, US, nf/ch)
Johann Gottfried Seume (1763–1810, Germany/Austrian E, nf)
Dr. Seuss (1904–1991, US, ch), pseudonym of Theodor Geisel
Miladin Ševarlić (born 1949, Yugoslavia/Serbia, nf)
Tim Severin (1940–2020, India/England, nf/f)
David Severn (1918–2010, England, ch/nf)
Samuel Sewall (1652–1730, England/New England, nf)
Anna Seward (1742–1809, England, p)
Anna Sewell (1820–1878, England, ch)
Elizabeth Sewell (1919–2001, India/US, p/nf/f)
Elizabeth Missing Sewell (1815–1906, England, nf)
William Sewell (1804–1874, England, nf/f)
Miranda Seymour (born 1948, England, nf/f)
Carole Seymour-Jones (1943–2015, Wales/England, nf)
Naha Mint Seyyidi (died 2021, Mauritania, nf)
Anne Sexton (1928–1974, US, p/nf)
John W. Sexton (born 1958, England/Ireland, p/f/ch)
Miranda Seymour (born 1948, England, nf/f)
Mendele Mocher Sforim (1836–1917, Russian E, f/nf)
Amanda Puspanditaning Sejati (born 1990, Indonesian, nf)
Sh
Sha Menghai (沙孟海, 1900–1992, China, nf)
Sha Wenhan (沙文漢, 1908–1964, China, nf)
Shaaban bin Robert (1909–1962, Tanzania, p/nf)
Jeff Shaara (born 1952, US, f)
Michael Shaara (1928–1988, US, f)
Yaakov Shabtai (1934–1981, Palestine/Israel, f/d)
Maurice Shadbolt (1932–2004, N Zealand, f/nf)
Ahmed Zaki Abu Shadi (1892–1955, Egypt/US, p/nf)
Thomas Shadwell (c. 1642–1692, England, p/d)
Idries Shah (1924–1996, India/England, nf/f/ch)
Ritula Shah (born 1967, England, nf)
Smbat Shahaziz (1840–1908, Russian E, nf/p)
Husne Ara Shahed (1943–2022, Bangladesh, f/nf)
Muhammad Shahidullah (1885–1969, India/E Pakistan, nf)
Muhammad Quli Qutb Shah (1565–1612, Goncolda Sultanate, p)
Riaz Ahmed Gohar Shahi (1941–2000s, India/Pakistan, p/nf)
Rudra Mohammad Shahidullah (1956–1991, E Pakistan/Bangladesh, p)
Ruchoma Shain (1914–2013, US, nf)
Lawrence Shainberg (living, US, nf)
Nicholas Shakespeare (born 1957, England, f/nf)
William Shakespeare (1564–1616, England, d/p)
Abdus Shakur (1941–2013, India/Bangladesh)
Tupac Shakur (1971–1996, US, p)
Khairy Shalaby (1938–2011, Egypt, f/nf/d)
Meir Shalev (born 1948, Israel, f/nf/ch)
Otep Shamaya (born 1979, US, p/f)
Ivan Shamiakin (1921–2004, USSR/Belarus, f/d/nf)
Ahmad Shamlou (1925–2000, Iran, p/d/nf)
Sepideh Shamlou (born 1968, Iran, f)
Kamila Shamsie (born 1973, Pakistan/England, f/nf)
Catherine Shan (born 1952, France, f/nf)
Shang Yang (沙孟海, c. 390–338 BCE, China, nf)
Ntozake Shange (1948–2018, US, d/p)
Shangguan Wan'er (上官婉儿, 664–710, China, p)
John Patrick Shanley (born 1950, US, d)
David Shannon (born 1959, US, ch)
Doris Shannon (1924–2012, US, f), pseudonym E. X. Giroux
Shao Yong (邵雍, 1011–1077, China, nf/p)
Jo Shapcott (born 1953, England, p)
Thomas Shapcott (born 1935, Australia, p/f/d)
Karl Shapiro (1913–2000, US, p/f/nf)
Abd al-Qadir ibn Shaqrun (died post-1727/1728, Morocco, nf/p)
Mahjoub Sharif (1948–2014, Sudan, p)
Heather J. Sharkey (born 1967, US, nf)
Michael Sharkey (born 1946, Australia, p)
Ram Sharan Sharma (1919–2011, India, nf)
Robin Sharma (born 1965, Canada, nf)
Sanu Sharma (Nepal/Australia, f)
Yuyutsu Sharma (born 1960, India/Nepal, p/nf)
Evelyn Sharp (1869–1965, England, nf/ch)
Jane Sharp (born c. 1641, England, nf)
Margery Sharp (1905–1991, England, f/ch/d)
Samuel Sharp (1709–1778, England, nf)
Tom Sharpe (1928–2013, England/Spain, f)
Mark Shasha (born 1961, US, ch)
William Shatner (born 1931, Canada, f/nf)
Brenda Shaughnessy (born 1970, US, p)
Richard S. Shaver (1907–1975, US, f/nf)
Bob Shaw (1931–1996, N Ireland/England, f/nf)
Charles Green Shaw (1892–1974, US, f/nf/ch)
George Bernard Shaw (1856–1950, Ireland/England, d/nf)
Helen Lilian Shaw (1913–1985, N Zealand, f/p)
Jane Shaw (born 1963, England, nf)
Jane Shaw (1910–2000, Scotland, ch)
Jo Shaw (living, England/Scotland, nf)
Luci Shaw (born 1928, England/US, p/nf)
Robert Shaw (1927–1978, England/Ireland, f/d)
Scott Shaw (born 1958, US, nf)
Tina Shaw (born 1961, N Zealand, f/ch/nf)
Ahmed Shawqi (1868–1932, Egypt, d/p/nf)
Maggie Shayne (born 1962, US, f)
Miranda Shearer (born 1982, England, nf)
Patrick Augustine Sheehan (1852–1913, Ireland, nf/f)
Charles Sheffield (1935–2002, England/US, f)
Robert Sheckley (1928–2005, US, f/nf)
Kirit Shelat (born 1946, India, nf)
Edward Sheldon (1599–1687, England, d)
Joss Sheldon (born 1982, England, f/nf)
Sidney Sheldon (1917–2007, US, d/f)
Mary Shelley (1797–1851, England, f)
Percy Bysshe Shelley (1792–1832, England/Italy, p/nf)
Ibrahim Sheme (born 1968, Nigeria, f/nf)
Shen Buhai (申不害, c. 400 – c. 337 BCE, China, nf)
Shen Congwen (沈從文, 1902–1988, China, f/nf)
Shen Dao (慎到, c. 350 – c. 275 BCE, China, nf)
Shen Quanqi (沈佺期, c. 650–729, China, p)
Shen Rong (谌容, 1936–2024, China, f/nf)
Shen Shanbao (沈善宝, 1808–1862, China, p/nf)
Dorothy Sherrill (1901–1990, US, ch)
Shen Shixi (沈石溪, born 1952, China, ch)
Shen Yinmo (沈尹默, 1883–1971, China, p)
Shen Yue (沈約, 441–513, China, p/nf)
Shen Zhou (沈周, 1427–1509, China, nf)
William Shenstone (1714–1763, England, p/nf)
Lucius Shepard (1947–2014, US, f)
Sara Shepard (born 1977, US, f/ch)
Joel Shepherd (born 1974, Australia, f)
Nan Shepherd (1893–1981, Scotland, nf/f/p)
Dick Sheppard (1880–1937, England, nf)
Barbara Sher (1935–2020, US, nf)
Bhupi Sherchan (1937–1990, Nepal, p)
Moyle Sherer (1789–1869, England, nf/f)
Vamba Sherif (born 1973, Liberia/Netherlands, f)
T. L. Sherred (1915–1985, US, f)
R. C. Sherriff (1896–1975, England, d/f)
Mary Martha Sherwood (1775–1851, England, ch)
Will Shetterly (born 1955, US, f)
Taras Shevchenko (1814–1861, Russian E, p)
Shi Nai'an (施耐庵, c. 1296–1372, China, f)
Shi Kefa (史可法, 1601–1645, China, nf)
Shi Shen (石申, fl. c. 4th c. BCE, China, nf)
Shi Zhecun (施蟄存, 1905–2003, China, nf/f/p)
Ryōtarō Shiba (司馬遼太郎, 1923–1996, Japan, f/nf)
Tatsuhiko Shibusawa (澁澤龍彦, 1928–1987, Japan, f/nf)
Shide (拾得, fl. 9th c., China, p)
Carol Shields (1935–2003, US/Canada, f)
Mitsuko Shiga (四賀光子, 1885–1976, Japan, p)
Naoya Shiga (志賀直哉, 1883–1971, Japan, f)
Shiing-Shen Chern (陳省身, 1911–2004, China, nf/p)
Masaoka Shiki (正岡子規, 1867–1902, Japan, p/nf)
Arthur Richard Shilleto (1848–1894, England, nf)
Richard Shilleto (1809–1876, England, nf)
Masahiko Shimada (島田雅彦, born 1961, Japan, f/p)
Kensaku Shimaki (島木健作, 1903–1945, Japan, f)
Toshio Shimao (島尾敏雄, 1917–1986, Japan, f)
Tōson Shimazaki (島崎藤村, 1872–1943, Japan, p/f)
Motoyoshi Shimizu (清水基吉, 1918–2008, Japan, f/p)
Shimizu Shikin (清水紫琴, 1868–1933, Japan, nf)
Yoshinori Shimizu (清水義範, born 1947, Japan, f/ch)
Christopher R. Shimmin (1870–1933, Isle of Man, d)
Thomas Shimmin (1800 – c. 1876/1879, Isle of Man, p)
Samuel Shimon (born 1956, Iraq, f)
Pedro Shimose (born 1940, Bolivia/Spain, p/nf)
Ba Shin (1914–1970, Burma, nf)
Hsu Shin (1932–2009, Burma/Myanmar, nf), pseudonym of Myo Thant
Shing-Tung Yau (丘成桐, born 1949, China, nf)
Irma Shiolashvili (born 1974, USSR/Georgia, p/nf)
Nanami Shiono (塩野七生, born 1937, Japan, nf/f)
Gary Shipman (born 1966, US, ch)
Rhoda Shipman (born 1968, US, ch)
